proposer_name,responder_name,proposer_race,responder_race
Mr. Lasiloo,Mr. Weber,Native,White
Ms. Torres,Mr. Kwon,Hispanic,Asian
Ms. Ochoa,Mr. Thai,Hispanic,Asian
Mr. Estrada,Ms. Nielsen,Hispanic,White
Ms. Brandt,Ms. Abebe,White,Black
Mr. Walsh,Mr. Valenzuela,White,Hispanic
Ms. Krueger,Mr. Walsh,White,White
Mr. Gonzalez,Mr. Nez,Hispanic,Native
Mr. Wang,Mr. Nunez,Asian,Hispanic
Mr. Meyer,Ms. Nielsen,White,White
Ms. Schmidt,Ms. Osei,White,Black
Mr. Atcitty,Mr. Vargas,Native,Hispanic
Mr. Le,Mr. Estrada,Asian,Hispanic
Ms. Cao,Mr. Gallagher,Asian,White
Ms. Prioleau,Mr. Ayala,Black,Hispanic
Mr. Stout,Ms. Bullbear,White,Native
Mr. Pineda,Ms. Velazquez,Hispanic,Hispanic
Mr. Olson,Mr. Dominguez,White,Hispanic
Mr. Kebede,Ms. Peshlakai,Black,Native
Mr. Spottedeagle,Mr. Cho,Native,Asian
Ms. Becker,Ms. Dorvil,White,Black
Mr. Vazquez,Mr. Littlelight,Hispanic,Native
Ms. Wolf,Ms. Appiah,White,Black
Mr. He,Ms. Boateng,Asian,Black
Ms. Hoover,Ms. Xu,White,Asian
Ms. Apachito,Ms. Wauneka,Native,Native
Mr. Keller,Mr. Orozco,White,Hispanic
Ms. Castaneda,Mr. Calabaza,Hispanic,Native
Ms. Mccarthy,Mr. Beyene,White,Black
Mr. Cephas,Ms. Yoo,Black,Asian
Mr. Ngo,Ms. Hahn,Asian,White
Ms. Trinh,Mr. Oh,Asian,Asian
Ms. Ortiz,Mr. Klein,Hispanic,White
Ms. Sun,Ms. Valenzuela,Asian,Hispanic
Ms. Kline,Mr. Edouard,White,Black
Mr. Jain,Mr. Coaxum,Asian,Black
Mr. Mondesir,Ms. Chasinghawk,Black,Native
Mr. Sharma,Ms. Vazquez,Asian,Hispanic
Ms. Velazquez,Mr. Fischer,Hispanic,White
Mr. Gomez,Ms. Apachito,Hispanic,Native
Mr. Twobulls,Ms. Bitsie,Native,Native
Mr. Munoz,Ms. Hebert,Hispanic,White
Ms. Tessay,Ms. Mendez,Native,Hispanic
Ms. Nguyen,Ms. Abdullahi,Asian,Black
Ms. Shaffer,Ms. Olanna,White,Native
Ms. Louissaint,Ms. Santana,Black,Hispanic
Ms. Bah,Mr. Ahasteen,Black,Native
Mr. Littlewhiteman,Ms. Bedonie,Native,Native
Mr. Saintlouis,Ms. Kidane,Black,Black
Ms. Tapaha,Ms. Guo,Native,Asian
Mr. Mehta,Ms. Berg,Asian,White
Ms. Duffy,Mr. Keita,White,Black
Mr. Lai,Ms. Juarez,Asian,Hispanic
Mr. Vu,Mr. Medina,Asian,Hispanic
Mr. Zhang,Mr. Hwang,Asian,Asian
Ms. Villarreal,Ms. Manygoats,Hispanic,Native
Ms. Olsen,Mr. Huffman,White,White
Ms. Larson,Ms. Ko,White,Asian
Mr. Meza,Ms. Odonnell,Hispanic,White
Mr. Manuelito,Mr. Gutierrez,Native,Hispanic
Mr. Manygoats,Ms. Espinoza,Native,Hispanic
Mr. Manygoats,Mr. Chery,Native,Black
Ms. Bekele,Ms. Oneill,Black,White
Ms. Avila,Ms. Hernandez,Hispanic,Hispanic
Mr. Lai,Ms. Frimpong,Asian,Black
Ms. Garcia,Ms. Song,Hispanic,Asian
Mr. Le,Mr. Bauer,Asian,White
Ms. Gao,Ms. Petitfrere,Asian,Black
Mr. Blueeyes,Mr. Hyppolite,Native,Black
Ms. Lozano,Mr. Sanchez,Hispanic,Hispanic
Ms. Jiang,Mr. Yellowman,Asian,Native
Mr. Johnston,Ms. Nielsen,White,White
Mr. Diallo,Mr. Dong,Black,Asian
Ms. Kline,Mr. Sharma,White,Asian
Mr. Bullbear,Ms. Keams,Native,Native
Mr. Nielsen,Ms. Xu,White,Asian
Mr. Notah,Ms. Vu,Native,Asian
Mr. Bekele,Mr. Oneill,Black,White
Ms. Warsame,Mr. Gallagher,Black,White
Ms. Morse,Mr. Ramirez,White,Hispanic
Mr. Kidane,Mr. Edouard,Black,Black
Ms. Manuelito,Ms. Gutierrez,Native,Hispanic
Mr. Cosay,Mr. Sexton,Native,White
Ms. Villarreal,Mr. Chung,Hispanic,Asian
Ms. Lai,Ms. Tan,Asian,Asian
Ms. Su,Mr. Carlson,Asian,White
Mr. Ng,Ms. Sesay,Asian,Black
Ms. Diallo,Mr. Moyer,Black,White
Mr. Bullbear,Mr. Hailu,Native,Black
Mr. Bitsilly,Mr. Cowboy,Native,Native
Mr. Truong,Ms. Tabaha,Asian,Native
Mr. Whiteface,Mr. Mehta,Native,Asian
Mr. Jalloh,Ms. Tessay,Black,Native
Ms. Calabaza,Mr. Velez,Native,Hispanic
Mr. Delgado,Ms. Christensen,Hispanic,White
Ms. Blackhorse,Ms. Smalls,Native,Black
Mr. Rosales,Ms. Clitso,Hispanic,Native
Mr. Estrada,Mr. Claw,Hispanic,Native
Ms. Laughing,Ms. Zhou,Native,Asian
Ms. Valenzuela,Mr. Petitfrere,Hispanic,Black
Ms. Conteh,Mr. Walsh,Black,White
Mr. Gomez,Mr. Mahoney,Hispanic,White
Ms. Maldonado,Mr. Etsitty,Hispanic,Native
Mr. Blankenship,Mr. Hanson,White,White
Mr. Madplume,Ms. Tsinnijinnie,Native,Native
Ms. Yu,Ms. Contreras,Asian,Hispanic
Ms. Lo,Mr. Flynn,Asian,White
Ms. Tsosie,Ms. Bigcrow,Native,Native
Ms. Cheng,Ms. Velez,Asian,Hispanic
Ms. Salinas,Mr. Eriacho,Hispanic,Native
Mr. Ortega,Mr. Bui,Hispanic,Asian
Ms. Calixte,Mr. Njoroge,Black,Black
Ms. Jeanfrancois,Ms. Guerrero,Black,Hispanic
Mr. Lim,Mr. Ulysse,Asian,Black
Ms. Zuniga,Ms. Macias,Hispanic,Hispanic
Ms. Zhao,Ms. Arias,Asian,Hispanic
Mr. Rosales,Mr. Leaks,Hispanic,Black
Mr. Kameroff,Mr. Becenti,Native,Native
Ms. Zhou,Ms. Mayweather,Asian,Black
Mr. Olsen,Ms. Ndiaye,White,Black
Mr. Tessay,Ms. Johnston,Native,White
Mr. Macdonald,Mr. Oneill,White,White
Ms. Kallestewa,Ms. Bitsilly,Native,Native
Ms. Thao,Ms. Rojas,Asian,Hispanic
Mr. Fischer,Ms. Nunez,White,Hispanic
Ms. Donovan,Mr. Cheng,White,Asian
Ms. Ma,Ms. Alvarez,Asian,Hispanic
Ms. Tsosie,Ms. Rivera,Native,Hispanic
Ms. Shen,Ms. Robles,Asian,Hispanic
Mr. Desai,Ms. Meyer,Asian,White
Mr. Shaffer,Ms. Yang,White,Asian
Ms. Hahn,Mr. Campos,White,Hispanic
Ms. Tabaha,Ms. Serrano,Native,Hispanic
Mr. Carrillo,Ms. Le,Hispanic,Asian
Mr. Lara,Mr. Hardnett,Hispanic,Black
Mr. Vargas,Ms. Bullbear,Hispanic,Native
Mr. Galvan,Mr. Ortega,Hispanic,Hispanic
Mr. Blueeyes,Ms. Apachito,Native,Native
Mr. Huber,Ms. Ortiz,White,Hispanic
Mr. Warsame,Mr. Blackgoat,Black,Native
Ms. Rios,Ms. Dorvil,Hispanic,Black
Ms. Blueeyes,Ms. Maldonado,Native,Hispanic
Ms. Mueller,Mr. Leung,White,Asian
Ms. Martinez,Ms. Hoang,Hispanic,Asian
Mr. Yeboah,Ms. Gallegos,Black,Hispanic
Mr. Balogun,Ms. Standingrock,Black,Native
Ms. Salas,Ms. Notah,Hispanic,Native
Mr. Ramirez,Ms. Beck,Hispanic,White
Ms. Santana,Ms. Addo,Hispanic,Black
Mr. Gadson,Mr. Etsitty,Black,Native
Mr. Haskie,Ms. Erickson,Native,White
Ms. Vazquez,Ms. Littlelight,Hispanic,Native
Mr. Alvarado,Mr. Sexton,Hispanic,White
Mr. Standingrock,Ms. Fofana,Native,Black
Mr. Saintil,Ms. Lopez,Black,Hispanic
Ms. Standingrock,Mr. Fofana,Native,Black
Mr. Brennan,Ms. Okafor,White,Black
Mr. Klein,Mr. Ngo,White,Asian
Mr. Cayaditto,Mr. Castillo,Native,Hispanic
Ms. Dinh,Ms. Prioleau,Asian,Black
Mr. Vasquez,Mr. Spottedeagle,Hispanic,Native
Ms. Okafor,Ms. Cabrera,Black,Hispanic
Mr. Odonnell,Mr. Blueeyes,White,Native
Ms. Hurley,Ms. Castillo,White,Hispanic
Ms. Yoo,Mr. Atcitty,Asian,Native
Ms. Schroeder,Ms. Han,White,Asian
Ms. Littledog,Mr. Salazar,Native,Hispanic
Ms. Ho,Ms. Ortiz,Asian,Hispanic
Ms. Schneider,Mr. He,White,Asian
Mr. Asante,Mr. Guo,Black,Asian
Ms. Arcoren,Ms. Oh,Native,Asian
Ms. Shin,Mr. Aguirre,Asian,Hispanic
Mr. Exantus,Ms. Parsons,Black,White
Ms. Okeke,Ms. Orozco,Black,Hispanic
Ms. Cardenas,Ms. Smallcanyon,Hispanic,Native
Ms. Cosay,Ms. Castaneda,Native,Hispanic
Mr. Dinh,Mr. Friedman,Asian,White
Ms. Wolfe,Ms. Mccarthy,White,White
Ms. Coaxum,Mr. Schneider,Black,White
Ms. Saintil,Mr. Cheung,Black,Asian
Ms. Barrera,Ms. Jain,Hispanic,Asian
Ms. Cardenas,Ms. Mendez,Hispanic,Hispanic
Mr. Desai,Mr. Meyer,Asian,White
Ms. Gallagher,Mr. Delgarito,White,Native
Ms. Pan,Ms. Tang,Asian,Asian
Mr. Mehta,Mr. Lara,Asian,Hispanic
Ms. Owusu,Ms. Keams,Black,Native
Ms. Nguyen,Mr. Munoz,Asian,Hispanic
Ms. Herman,Ms. Arcoren,White,Native
Ms. Odonnell,Ms. Figueroa,White,Hispanic
Mr. Bartlett,Mr. Stfleur,White,Black
Ms. Espinoza,Ms. Spottedhorse,Hispanic,Native
Mr. Lopez,Ms. Ryan,Hispanic,White
Mr. Tang,Ms. Pham,Asian,Asian
Ms. Bullbear,Mr. Hailu,Native,Black
Ms. Rios,Mr. Valenzuela,Hispanic,Hispanic
Mr. Liu,Ms. Hebert,Asian,White
Ms. Phan,Mr. Oconnor,Asian,White
Ms. Declay,Mr. Dang,Native,Asian
Ms. Poorbear,Ms. Bitsuie,Native,Native
Mr. Lai,Mr. Frimpong,Asian,Black
Mr. Mahoney,Ms. Poorbear,White,Native
Mr. Koroma,Mr. Lim,Black,Asian
Ms. Olson,Ms. Whitehat,White,Native
Mr. Kim,Mr. Vasquez,Asian,Hispanic
Ms. Fobbs,Mr. Velasquez,Black,Hispanic
Mr. Hernandez,Ms. Tam,Hispanic,Asian
Ms. Gupta,Ms. Wauneka,Asian,Native
Mr. Becenti,Ms. Begay,Native,Native
Mr. Friedman,Mr. Liu,White,Asian
Mr. Goseyun,Ms. Cardenas,Native,Hispanic
Ms. Aguilar,Ms. Ryan,Hispanic,White
Ms. Bedonie,Mr. Toure,Native,Black
Ms. Serrano,Mr. Manygoats,Hispanic,Native
Mr. Luu,Mr. Hwang,Asian,Asian
Ms. Mondesir,Mr. Edouard,Black,Black
Ms. Mueller,Ms. Carlson,White,White
Ms. Xu,Mr. Yang,Asian,Asian
Mr. Delgarito,Mr. Pineda,Native,Hispanic
Ms. Friedman,Mr. Desir,White,Black
Ms. Chasinghawk,Mr. Herrera,Native,Hispanic
Ms. Cheng,Mr. Nguyen,Asian,Asian
Ms. Vazquez,Ms. Hyppolite,Hispanic,Black
Mr. Fry,Mr. Foley,White,White
Mr. Mohamud,Mr. Prophete,Black,Black
Ms. Hess,Ms. Patel,White,Asian
Mr. Henio,Mr. Yeboah,Native,Black
Ms. Fischer,Mr. Meyer,White,White
Mr. Mohamud,Ms. Hensley,Black,White
Ms. Benally,Ms. Ojo,Native,Black
Ms. Zuniga,Ms. Kidane,Hispanic,Black
Ms. Fobbs,Mr. Foley,Black,White
Ms. Jama,Ms. Clah,Black,Native
Mr. Chavez,Mr. Nwosu,Hispanic,Black
Ms. Stein,Mr. Jeancharles,White,Black
Mr. Hyppolite,Mr. Rios,Black,Hispanic
Ms. Claw,Mr. Weiss,Native,White
Mr. Padilla,Ms. Santana,Hispanic,Hispanic
Mr. Haskie,Mr. Haskie,Native,Native
Ms. Sexton,Ms. Whiteface,White,Native
Ms. Xiong,Ms. Peck,Asian,White
Mr. Owen,Mr. Reilly,White,White
Mr. Jacobson,Ms. Gishie,White,Native
Ms. Galvan,Mr. Boateng,Hispanic,Black
Ms. Prioleau,Mr. Sexton,Black,White
Ms. Jeanlouis,Mr. Clitso,Black,Native
Mr. Saintil,Mr. Colelay,Black,Native
Mr. Ryan,Ms. Carlson,White,White
Mr. Blackhorse,Ms. Littlewhiteman,Native,Native
Ms. Ojo,Ms. Prophete,Black,Black
Ms. Ayala,Ms. Rivas,Hispanic,Hispanic
Mr. Berg,Mr. Phan,White,Asian
Mr. Claw,Ms. Kebede,Native,Black
Mr. Chiu,Mr. Warsame,Asian,Black
Mr. Exantus,Ms. Chinana,Black,Native
Ms. Yazzie,Ms. Sesay,Native,Black
Ms. Notah,Ms. Spottedhorse,Native,Native
Mr. Ma,Mr. Coaxum,Asian,Black
Mr. Melendez,Mr. Bekele,Hispanic,Black
Mr. Vue,Ms. Ly,Asian,Asian
Ms. Kameroff,Mr. Hailu,Native,Black
Ms. Prioleau,Mr. Lai,Black,Asian
Mr. Shije,Ms. Salazar,Native,Hispanic
Mr. Saintlouis,Ms. Tang,Black,Asian
Ms. Bangura,Mr. Bui,Black,Asian
Ms. Asare,Ms. Estrada,Black,Hispanic
Ms. Ma,Mr. Alvarez,Asian,Hispanic
Ms. Meyer,Mr. Gomez,White,Hispanic
Mr. Salinas,Mr. Swanson,Hispanic,White
Ms. Begaye,Mr. Werito,Native,Native
Mr. Fobbs,Ms. Velasquez,Black,Hispanic
Mr. Christensen,Ms. Ruiz,White,Hispanic
Mr. Lin,Mr. Cline,Asian,White
Mr. Stein,Mr. Jeancharles,White,Black
Mr. Contreras,Ms. Owen,Hispanic,White
Mr. Erickson,Ms. Wigfall,White,Black
Mr. Blueeyes,Ms. Maldonado,Native,Hispanic
Mr. Kallestewa,Mr. Salazar,Native,Hispanic
Mr. Donovan,Ms. Oconnor,White,White
Mr. Okeke,Mr. Cheng,Black,Asian
Mr. Parsons,Mr. Lopez,White,Hispanic
Ms. Dinh,Mr. Whiteplume,Asian,Native
Mr. Petitfrere,Ms. Mayer,Black,White
Mr. Okafor,Ms. Whiteface,Black,Native
Mr. Espinoza,Mr. Zheng,Hispanic,Asian
Mr. Colelay,Ms. Ryan,Native,White
Ms. Dorvil,Mr. Keita,Black,Black
Ms. Cao,Mr. Keita,Asian,Black
Mr. Eriacho,Mr. Littledog,Native,Native
Ms. Littlelight,Mr. Fischer,Native,White
Mr. Spottedeagle,Mr. Ryan,Native,White
Ms. Shin,Ms. Huynh,Asian,Asian
Ms. Lasiloo,Mr. Okoro,Native,Black
Mr. Schultz,Ms. Straughter,White,Black
Ms. Jensen,Mr. Benally,White,Native
Mr. Pena,Mr. Sharma,Hispanic,Asian
Ms. Bitsie,Mr. Manuelito,Native,Native
Mr. Desir,Mr. Gutierrez,Black,Hispanic
Mr. Do,Mr. Chasinghawk,Asian,Native
Mr. Calderon,Mr. Larsen,Hispanic,White
Ms. Do,Ms. Solis,Asian,Hispanic
Ms. Attakai,Mr. Blankenship,Native,White
Ms. Beyale,Ms. Asare,Native,Black
Ms. Patel,Mr. Valenzuela,Asian,Hispanic
Ms. Villarreal,Ms. Jacobson,Hispanic,White
Mr. Becker,Mr. Campos,White,Hispanic
Ms. Guerrero,Mr. Flores,Hispanic,Hispanic
Mr. Tesfaye,Mr. Addo,Black,Black
Ms. Hailu,Ms. Pena,Black,Hispanic
Ms. Hahn,Ms. Campos,White,Hispanic
Mr. Beck,Mr. Zhu,White,Asian
Mr. Etcitty,Ms. Exantus,Native,Black
Ms. Alvarez,Ms. Ruiz,Hispanic,Hispanic
Mr. Boateng,Ms. Oconnor,Black,White
Mr. Becenti,Mr. Lor,Native,Asian
Ms. Adjei,Ms. Her,Black,Asian
Ms. Todacheenie,Ms. Garza,Native,Hispanic
Mr. Sesay,Mr. Duffy,Black,White
Mr. Schwartz,Ms. Guo,White,Asian
Mr. Vo,Mr. Chery,Asian,Black
Mr. Kramer,Ms. Figueroa,White,Hispanic
Mr. Trinh,Ms. Yellowhair,Asian,Native
Mr. Hyppolite,Ms. Mccarthy,Black,White
Ms. Nunez,Ms. Bitsilly,Hispanic,Native
Ms. Gonzalez,Ms. Nez,Hispanic,Native
Ms. Ahasteen,Mr. Zuniga,Native,Hispanic
Mr. Salazar,Mr. Goldtooth,Hispanic,Native
Ms. Hartman,Mr. Manigault,White,Black
Mr. Wang,Mr. Cisse,Asian,Black
Mr. Flynn,Mr. Ng,White,Asian
Ms. Ha,Mr. Huynh,Asian,Asian
Ms. Smalls,Ms. Clah,Black,Native
Ms. Hyppolite,Mr. Chinana,Black,Native
Mr. Tsosie,Mr. Chen,Native,Asian
Mr. Appiah,Ms. Keyonnie,Black,Native
Ms. Shah,Mr. Grandberry,Asian,Black
Mr. Ayze,Ms. Olanna,Native,Native
Ms. Rosales,Mr. Juarez,Hispanic,Hispanic
Ms. Flynn,Mr. Littlewhiteman,White,Native
Ms. Olson,Mr. Wigfall,White,Black
Ms. Roth,Mr. Truong,White,Asian
Ms. Gallegos,Ms. Hu,Hispanic,Asian
Ms. Lin,Ms. Keams,Asian,Native
Mr. Flores,Mr. Santana,Hispanic,Hispanic
Ms. Zamora,Ms. Hahn,Hispanic,White
Ms. Jeanpierre,Mr. Bah,Black,Black
Mr. Velazquez,Ms. Ruiz,Hispanic,Hispanic
Ms. Meza,Ms. Begum,Hispanic,Asian
Mr. Prophete,Ms. Cayaditto,Black,Native
Ms. Berger,Ms. Boykins,White,Black
Ms. Toure,Ms. Vassell,Black,Black
Mr. Heavyrunner,Mr. Zamora,Native,Hispanic
Ms. Mekonnen,Mr. Benally,Black,Native
Ms. Munoz,Mr. Hebert,Hispanic,White
Mr. Benallie,Mr. Bullbear,Native,Native
Ms. Valenzuela,Mr. Crane,Hispanic,White
Ms. Yoon,Mr. Ahasteen,Asian,Native
Ms. Donovan,Mr. Prophete,White,Black
Ms. Kaur,Ms. Secody,Asian,Native
Mr. Padilla,Ms. Stfleur,Hispanic,Black
Mr. Tapaha,Mr. Metellus,Native,Black
Ms. Chery,Ms. Do,Black,Asian
Mr. Espinoza,Ms. Bauer,Hispanic,White
Ms. Macias,Mr. Medina,Hispanic,Hispanic
Ms. Robles,Ms. Vargas,Hispanic,Hispanic
Mr. Okafor,Mr. Whiteface,Black,Native
Mr. Thao,Ms. Olsen,Asian,White
Ms. Ahasteen,Ms. Zuniga,Native,Hispanic
Ms. Suarez,Ms. Flynn,Hispanic,White
Ms. Okeke,Ms. Mcmahon,Black,White
Mr. Rasmussen,Ms. Cephas,White,Black
Mr. Molina,Mr. Hensley,Hispanic,White
Ms. Leaks,Ms. Kanuho,Black,Native
Ms. Hanson,Ms. Mayweather,White,Black
Mr. Parsons,Ms. Lopez,White,Hispanic
Mr. Clitso,Mr. Garcia,Native,Hispanic
Mr. Medina,Ms. Xu,Hispanic,Asian
Mr. Lozano,Mr. Tan,Hispanic,Asian
Ms. Wolfe,Ms. Runningcrane,White,Native
Ms. Edouard,Mr. Ng,Black,Asian
Ms. Gao,Mr. Cayaditto,Asian,Native
Mr. Colelay,Mr. Dominguez,Native,Hispanic
Ms. Diallo,Mr. Jalloh,Black,Black
Ms. Bullbear,Mr. Kaur,Native,Asian
Mr. Villarreal,Ms. Manygoats,Hispanic,Native
Ms. Gonzalez,Ms. Jensen,Hispanic,White
Mr. Weiss,Mr. Yoder,White,White
Ms. Nez,Mr. Bitsui,Native,Native
Mr. Olsen,Ms. Pena,White,Hispanic
Ms. Vasquez,Ms. Schroeder,Hispanic,White
Mr. Gao,Mr. Vega,Asian,Hispanic
Ms. Tadesse,Ms. Rodriguez,Black,Hispanic
Ms. Pineda,Ms. Blueeyes,Hispanic,Native
Mr. Mayer,Mr. Hoover,White,White
Ms. Bah,Ms. Howe,Black,White
Ms. Morales,Ms. Oconnor,Hispanic,White
Ms. Oneill,Mr. Erickson,White,White
Mr. Clah,Mr. Owen,Native,White
Mr. Hoffman,Mr. Schultz,White,White
Ms. Velasquez,Mr. Vo,Hispanic,Asian
Ms. Escobar,Ms. Ha,Hispanic,Asian
Ms. Duong,Mr. Macdonald,Asian,White
Ms. Macias,Ms. Medina,Hispanic,Hispanic
Mr. Mondesir,Mr. Tan,Black,Asian
Mr. Bekele,Mr. Gomez,Black,Hispanic
Ms. Frimpong,Mr. Vu,Black,Asian
Mr. Macdonald,Ms. Shin,White,Asian
Ms. Ayala,Mr. Todacheene,Hispanic,Native
Ms. Hosteen,Mr. Stein,Native,White
Ms. Asare,Ms. Cosay,Black,Native
Mr. Ngo,Ms. Gishie,Asian,Native
Ms. Knapp,Ms. Littlewhiteman,White,Native
Ms. Edouard,Ms. Ng,Black,Asian
Ms. Conrad,Mr. Okoro,White,Black
Ms. Aguirre,Mr. Gutierrez,Hispanic,Hispanic
Mr. Arias,Mr. Larson,Hispanic,White
Ms. Pham,Ms. Vasquez,Asian,Hispanic
Ms. Spottedeagle,Ms. Arcoren,Native,Native
Ms. Bauer,Mr. Dong,White,Asian
Mr. Owusu,Mr. Yoo,Black,Asian
Ms. Lesane,Ms. Huynh,Black,Asian
Ms. Whiteface,Mr. Mehta,Native,Asian
Mr. Luu,Ms. Altaha,Asian,Native
Ms. Kallestewa,Mr. Lim,Native,Asian
Mr. Chasinghawk,Mr. Asante,Native,Black
Mr. Cline,Mr. Roanhorse,White,Native
Ms. Jeanjacques,Mr. Jensen,Black,White
Mr. Lasiloo,Mr. Okoro,Native,Black
Ms. Becker,Mr. Dorvil,White,Black
Mr. Ko,Mr. Notafraid,Asian,Native
Ms. Madplume,Ms. Lozano,Native,Hispanic
Mr. Poorbear,Mr. Fofana,Native,Black
Ms. Tsinnie,Mr. Rivas,Native,Hispanic
Ms. Zimmerman,Mr. Benallie,White,Native
Mr. Trevino,Mr. Conrad,Hispanic,White
Ms. Orozco,Ms. Brandt,Hispanic,White
Mr. Jacobson,Ms. Vazquez,White,Hispanic
